Cycle,Tem,电压(V),电流(A),放电容量(Ah)
13620,24.8,3.9001,12.992,12.1812
13650,24.7,3.9001,12.9934,12.1841
13680,24.8,3.9001,13.0013,12.1859
13710,24.8,3.9001,13.0146,12.1859
13740,25.1,3.9001,13.0135,12.1852
13770,25.0,3.9002,12.9957,12.1834
13800,24.9,3.9003,12.9913,12.1835
13830,24.9,3.9002,12.9907,12.1815
13860,24.7,3.9,12.9909,12.1804
13890,24.5,3.9002,13.0148,12.1814
13920,24.5,3.9,12.9911,12.1811
13950,24.5,3.9002,12.9908,12.1844
13980,24.9,3.9002,12.994,12.1855
14010,24.9,3.9001,12.9906,12.1784
14040,24.9,3.9001,12.9981,12.1788
14070,24.7,3.9001,12.999,12.1774
14100,24.7,3.9002,12.9903,12.1784
14130,24.5,3.9001,13.0141,12.1745
14160,24.5,3.9002,12.9909,12.1727
14190,24.5,3.9003,13.0009,12.1741
14220,24.7,3.9,12.9914,12.1716
14250,25.0,3.9001,12.9949,12.1699
14280,25.1,3.9001,12.994,12.1637
14310,24.9,3.9002,12.9914,12.1604
14340,24.7,3.9001,12.9997,12.159
14370,24.6,3.9001,12.9985,12.1582
14400,24.6,3.9001,12.9912,12.1574
14430,24.7,3.9002,12.9937,12.1573
14460,24.6,3.9002,13.0009,12.1562
14490,25.0,3.9001,12.9912,12.1552
14520,25.1,3.9001,13.0014,12.1509
14550,25.0,3.9001,13.0063,12.1465
14580,24.7,3.9002,12.9913,12.1439
14610,24.6,3.9001,12.9912,12.1418
14640,24.6,3.9,12.991,12.1426
14670,24.6,3.9001,12.9909,12.1421
14700,24.7,3.9001,12.999,12.1436
14730,24.8,3.9001,13.0121,12.1416
14760,25.1,3.9001,12.9913,12.139
14790,25.0,3.9001,12.9924,12.1376
14820,25.0,3.9002,12.991,12.1353
14850,24.8,3.9002,12.991,12.1328
14880,24.7,3.9002,13.0014,12.1295
14910,24.6,3.9001,12.9949,12.1298
14940,24.5,3.9001,12.9962,12.1283
14970,24.6,3.9,12.9907,12.1244
15000,24.7,3.9001,12.9928,12.1169
15030,24.6,3.9,12.999,12.1123
15060,24.8,3.9002,12.9948,12.1077
15090,24.7,3.9001,13.0095,12.1038
15120,24.6,3.9001,12.9915,12.1006
15150,24.4,3.9001,12.9911,12.1002
15180,24.4,3.9001,13.003,12.0969
15210,24.4,3.9002,12.994,12.0951
15240,24.3,3.9001,12.9903,12.0926
15270,24.5,3.9003,13.001,12.0868
15300,24.7,3.9002,12.9957,12.0839
15330,24.4,3.9002,12.99,12.0792
15360,24.3,3.9,12.9985,12.076
15390,24.4,3.9,13.0069,12.0742
15420,24.3,3.9,12.9952,12.0714
15450,24.2,3.9001,12.9896,12.0696
15480,24.1,3.9002,12.9894,12.0678
15510,24.1,3.9002,13.0,12.0617
15540,24.5,3.9002,12.9892,12.0598
15570,24.7,3.9002,12.9891,12.0544
15600,24.0,3.9001,12.9896,12.0527
15630,24.1,3.9,13.01,12.0498
15660,24.6,3.9002,12.9994,12.0559
15690,24.4,3.9,13.0001,12.0483
15720,24.3,3.9002,12.991,12.0411
15750,24.3,3.9002,13.0149,12.0339
15780,24.3,3.9001,12.9937,12.0289
15810,24.2,3.9002,12.9898,12.0238
15840,24.2,3.9001,12.9898,12.017
15870,23.7,3.9,13.0023,12.009
15900,24.5,3.9001,12.9904,12.0078
15930,24.5,3.9001,13.0148,12.0057
15960,24.5,3.9,12.9919,12.0017
15990,24.4,3.9001,12.9899,12.001
16020,24.4,3.9001,12.9981,11.9956
