date,Tem,电压(V),电流(A),放电容量(Ah)
17010,28.4,3.9002,13.008,11.7219
17040,28.4,3.9001,13.0037,11.7209
17070,28.4,3.9001,13.0082,11.7205
17100,28.7,3.9002,13.0081,11.7208
17130,28.9,3.9002,13.0081,11.7206
17160,29.1,3.9002,13.008,11.7207
17190,28.8,3.9,13.0078,11.7178
17220,28.8,3.9001,13.008,11.7156
17250,28.6,3.9,13.0079,11.7138
17280,28.5,3.9003,13.0079,11.7128
17310,28.5,3.9002,13.0103,11.7128
17340,28.6,3.9003,13.0081,11.7121
17370,28.8,3.9001,13.0036,11.7118
17400,29.1,3.9003,13.008,11.7104
17430,29.1,3.9001,13.008,11.71
17460,28.9,3.9002,13.0079,11.7074
17490,28.7,3.9001,13.008,11.7054
17520,28.5,3.9003,13.009,11.7047
17550,28.6,3.9002,13.0078,11.704
17580,28.5,3.9,13.0079,11.7026
17610,28.9,3.9001,13.0078,11.7041
17640,29.1,3.9001,13.0127,11.7036
17670,29.2,3.9001,13.0078,11.7022
17700,29.3,3.9001,13.0085,11.7011
17730,29.0,3.9003,13.0079,11.6988
17760,28.7,3.9002,13.0076,11.7047
17790,28.7,3.9,13.0077,11.7061
17820,28.6,3.9001,13.0128,11.7151
17850,28.6,3.9002,13.0085,11.7025
17880,29.0,3.9003,13.0078,11.6985
17910,29.3,3.9001,13.0077,11.7015
17940,29.5,3.9002,13.0081,11.6984
17970,29.2,3.9003,13.0078,11.6926
18000,28.9,3.9001,13.0078,11.6893
18030,28.7,3.9001,13.004,11.6875
18060,28.6,3.9004,13.0108,11.6858
18090,28.5,3.9,13.0082,11.6855
18120,28.8,3.9002,13.0076,11.6859
18150,29.1,3.9003,13.0078,11.6846
18180,29.3,3.9001,13.0092,11.6836
18210,29.4,3.9004,13.0078,11.6828
18240,29.0,3.9003,13.0079,11.6795
18270,28.7,3.9002,13.0076,11.6783
18300,28.6,3.9003,13.0104,11.6775
18330,28.5,3.9,13.0075,11.6763
18360,28.5,3.9001,13.0038,11.6753
18390,28.9,3.9001,13.0078,11.676
18420,26.7,3.9002,13.0118,11.6661
18450,25.6,3.9001,13.0075,11.6642
18480,25.1,3.9001,13.0075,11.6616
18510,24.4,3.9004,13.008,11.6579
18540,24.4,3.9003,13.0107,11.657
18570,24.3,3.9004,13.0075,11.6555
18600,24.2,3.9,13.0117,11.6529
18630,24.2,3.9002,13.0075,11.6515
18660,24.4,3.9002,13.0074,11.6508
18690,24.6,3.9,13.0052,11.6497
18720,24.8,3.9001,13.0099,11.6493
18750,23.9,3.9003,13.0073,11.6459
18780,23.9,3.9001,13.0074,11.6451
18810,23.6,3.9,13.0079,11.643
18840,23.7,3.9001,13.0074,11.6419
18870,23.6,3.9002,13.0079,11.6409
18900,23.7,3.9,13.0078,11.6406
18930,24.2,3.9001,13.0075,11.6423
18960,26.7,3.9001,13.0075,11.6464
18990,27.0,3.9002,13.0076,11.6454
19020,25.1,3.9,13.0049,11.6398
19050,27.0,3.9003,13.0079,11.6436
19080,27.2,3.9002,13.0147,11.6421
19110,27.2,3.9,13.0077,11.6421
19140,27.5,3.9003,13.0077,11.6418
19170,28.0,3.9004,13.0077,11.643
19200,28.0,3.9002,13.0078,11.6422
19230,28.0,3.9002,13.0078,11.6408
19260,27.8,3.9002,13.0079,11.6389
19290,27.4,3.9001,13.0077,11.6366
19320,27.2,3.9002,13.0078,11.6355
