Cycle,Tem,电压(V),电流(A),放电容量(Ah)
12480,30.1,3.6501,13.0097,12.4664
12510,29.9,3.65,13.0093,12.4643
12540,29.9,3.65,13.0099,12.4635
12570,29.8,3.65,13.0079,12.4782
12600,29.9,3.65,13.0088,12.4634
12630,30.4,3.65,13.0141,12.461
12660,30.3,3.6501,13.0109,12.4718
12690,30.3,3.6501,13.0047,12.4598
12720,30.1,3.65,13.0093,12.4545
12750,29.9,3.6501,13.0108,12.453
12780,29.7,3.65,13.0092,12.4509
12810,29.6,3.6501,13.0084,12.4491
12840,29.7,3.65,13.0097,12.4484
12870,30.0,3.65,13.0083,12.4469
12900,30.3,3.65,13.0085,12.4463
12930,30.6,3.6501,13.0135,12.4445
12960,30.2,3.65,13.0085,12.4481
12990,30.0,3.65,13.0104,12.4409
13020,29.8,3.6502,13.0042,12.4398
13050,29.8,3.65,13.0082,12.4379
13080,30.0,3.65,13.0083,12.4362
13110,30.2,3.65,13.0081,12.436
13140,30.3,3.6501,13.01,12.435
13170,30.3,3.65,13.0086,12.4328
13200,30.1,3.65,13.0106,12.431
13230,29.9,3.65,13.0081,12.4288
13260,29.6,3.6501,13.0098,12.4266
13290,29.5,3.65,13.0089,12.4251
13320,29.8,3.6501,13.0112,12.4247
13350,30.1,3.65,13.008,12.4236
13380,30.1,3.6501,13.0051,12.4224
13410,30.3,3.65,13.0077,12.4203
13440,30.0,3.65,13.0116,12.418
13470,29.8,3.6501,13.0114,12.4166
13500,29.7,3.65,13.0075,12.4149
13530,29.6,3.65,13.0143,12.4143
13560,29.9,3.65,13.0092,12.4135
13590,30.1,3.65,13.0077,12.4122
13620,30.3,3.6501,13.0082,12.41
13650,30.3,3.6501,13.0072,12.4097
13680,30.0,3.65,13.0072,12.4073
13710,29.9,3.6502,13.0066,12.4054
13740,29.8,3.6501,13.0146,12.4033
13770,29.8,3.65,13.0073,12.4028
13800,29.9,3.6501,13.0109,12.4021
13830,30.3,3.65,13.0075,12.4014
13860,30.1,3.65,13.0085,12.4003
13890,29.6,3.65,13.0074,12.3954
13920,29.3,3.6501,13.0107,12.3933
13950,29.1,3.6501,13.0071,12.3908
13980,28.8,3.6501,13.0096,12.3894
14010,28.7,3.65,13.0119,12.3887
14040,28.9,3.6502,13.0011,12.3944
14070,28.7,3.65,13.0141,12.385
14100,28.8,3.65,13.0078,12.3842
14130,28.6,3.65,13.0072,12.3825
14160,28.4,3.65,13.0082,12.3813
14190,28.4,3.65,13.0089,12.3798
14220,28.2,3.65,13.0069,12.3781
14250,28.2,3.65,13.0069,12.3763
14280,28.3,3.6501,13.0073,12.3756
14310,28.5,3.65,13.0073,12.3749
14340,28.0,3.65,13.011,12.3742
14370,27.9,3.6502,13.0011,12.3829
14400,27.9,3.6501,13.007,12.3752
14430,27.6,3.6501,13.0119,12.3796
14460,27.3,3.65,13.0126,12.3695
14490,27.5,3.65,13.0068,12.3885
14520,27.9,3.65,13.0087,12.3836
14550,28.3,3.6501,13.009,12.3659
14580,28.3,3.65,13.0101,12.3744
14610,27.9,3.6501,13.0129,12.363
14640,27.7,3.65,13.0113,12.3619
14670,27.6,3.6501,13.007,12.3615
14700,27.4,3.6501,13.005,12.3601
14730,27.5,3.6501,13.0072,12.3591
14760,27.9,3.65,13.0071,12.3583
14790,27.8,3.6501,13.0117,12.3595
14820,28.3,3.6501,13.0096,12.3625
14850,27.9,3.65,13.0136,12.3704
14880,27.7,3.65,13.009,12.366
14910,27.5,3.65,13.0073,12.3565
14940,27.6,3.65,13.0111,12.3518
14970,27.8,3.6501,13.012,12.3533
15000,28.0,3.65,13.0099,12.3494
15030,28.2,3.6501,13.0017,12.3486
15060,28.4,3.65,13.0065,12.3483
15090,28.1,3.65,13.006,12.3454
15120,28.0,3.65,13.0087,12.3451
15150,27.9,3.65,13.0071,12.344
15180,28.0,3.65,13.0072,12.3426
15210,28.2,3.6501,13.007,12.3426
15240,28.5,3.6501,13.0101,12.3404
15270,28.8,3.6501,13.0119,12.3393
15300,28.5,3.65,13.0091,12.3493
15330,28.2,3.65,13.0145,12.3337
15360,28.0,3.6501,13.0045,12.3391
15390,28.1,3.65,13.0092,12.3304
15420,28.0,3.6501,13.0106,12.3319
15450,28.2,3.6501,13.0088,12.3301
15480,28.4,3.6501,13.0087,12.3453
15510,28.7,3.65,13.0082,12.3265
15540,28.9,3.65,13.0143,12.3298
15570,28.5,3.65,13.0085,12.324
15600,28.5,3.65,13.0135,12.3225
15630,28.4,3.65,13.0073,12.321
15660,28.4,3.65,13.0097,12.3199
15690,28.6,3.6501,13.0012,12.3195
15720,28.9,3.6501,13.0074,12.318
15750,29.1,3.65,13.0084,12.317
15780,28.8,3.6501,13.011,12.3157
15810,28.8,3.65,13.0127,12.3131
15840,28.7,3.6501,13.0073,12.3118
15870,28.6,3.65,13.0071,12.3158
15900,28.5,3.65,13.0072,12.3094
15930,28.7,3.6501,13.0071,12.3092
15960,29.0,3.6501,13.0071,12.3077
15990,29.1,3.65,13.009,12.3062
16020,29.0,3.6501,13.0011,12.3048
16050,28.7,3.6501,13.0119,12.3026
16080,28.6,3.65,13.0073,12.301
16110,28.7,3.65,13.0121,12.2995
16140,28.7,3.65,13.0114,12.2988
16170,28.9,3.65,13.01,12.2976
16200,29.1,3.65,13.0105,12.2966
16230,29.2,3.6501,13.0069,12.2956
16260,29.3,3.6501,13.0107,12.2942
16290,28.9,3.6501,13.0124,12.2918
16320,28.7,3.65,13.0072,12.2904
16350,28.6,3.6501,13.0025,12.2894
16380,28.5,3.6501,13.0073,12.2878
16410,28.8,3.65,13.0131,12.2997
16440,29.1,3.6501,13.0071,12.2884
16470,29.4,3.6501,13.0072,12.2855
16500,29.3,3.65,13.0087,12.2833
16530,28.9,3.65,13.0098,12.2816
16560,28.6,3.65,13.0073,12.2798
16590,28.5,3.65,13.0071,12.2787
16620,28.5,3.65,13.0072,12.2776
16650,28.9,3.6501,13.0097,12.2774
16680,29.1,3.65,13.0011,12.2771
16710,29.4,3.6501,13.0029,12.2754
16740,29.2,3.65,13.0086,12.275
16770,28.7,3.65,13.0071,12.272
16800,28.6,3.6501,13.0074,12.2701
16830,28.5,3.65,13.0073,12.2681
16860,28.5,3.65,13.0111,12.2667
16890,28.9,3.6501,13.0077,12.2735
16920,26.3,3.65,13.0084,12.2605
16950,25.4,3.65,13.0074,12.259
16980,24.8,3.6501,13.0071,12.258
17010,24.4,3.65,13.0076,12.2566
17040,24.4,3.6501,13.0017,12.2592
17070,24.4,3.6501,13.0077,12.2606
17100,24.1,3.65,13.0145,12.2528
17130,24.3,3.65,13.0072,12.2521
17160,24.5,3.6501,13.011,12.2512
17190,24.8,3.65,13.0074,12.2493
17220,24.0,3.6501,13.0077,12.2485
17250,23.9,3.6501,13.0133,12.2469
17280,23.7,3.6501,13.0109,12.2523
17310,23.8,3.65,13.0091,12.2451
17340,23.6,3.65,13.0069,12.2445
17370,23.9,3.6501,13.0024,12.2428
17400,25.7,3.6501,13.0064,12.2504
17430,26.9,3.65,13.0118,12.2455
17460,26.9,3.6501,13.0072,12.2417
17490,26.8,3.65,13.0083,12.2409
17520,27.2,3.6501,13.0134,12.2405
17550,27.3,3.65,13.0071,12.2375
17580,27.6,3.65,13.0075,12.2371
17610,28.0,3.65,13.0073,12.2362
17640,28.0,3.65,13.0073,12.2351
17670,28.0,3.65,13.0093,12.2337
17700,27.6,3.6501,13.0104,12.2311
17730,27.4,3.65,13.011,12.2296
17760,27.3,3.65,13.0118,12.2319
17790,27.2,3.65,13.0075,12.2308
17820,27.3,3.65,13.0074,12.2269
17850,27.6,3.6501,13.0071,12.2294
17880,27.9,3.65,13.0086,12.2273
17910,27.7,3.65,13.0089,12.2233
17940,27.8,3.65,13.0074,12.2219
17970,27.6,3.6501,13.0075,12.2204
18000,27.6,3.65,13.0123,12.2193
18030,27.5,3.6502,13.0025,12.2178
18060,27.6,3.65,13.0073,12.2171
18090,27.8,3.6501,13.0101,12.2179
18120,28.0,3.6501,13.0107,12.215
18150,27.6,3.65,13.0071,12.2136
18180,26.8,3.65,13.0121,12.2097
18210,23.8,3.65,13.01,12.2096
18240,26.6,3.6501,13.0136,12.2083
18270,26.8,3.65,13.0073,12.2072
18300,27.1,3.65,13.0073,12.2069
18330,27.5,3.65,13.0089,12.2063
18360,27.6,3.6501,13.0015,12.2067
18390,27.6,3.65,13.0082,12.2037
18420,27.4,3.6501,13.0103,12.202
18450,27.2,3.65,13.0085,12.2002
18480,27.1,3.65,13.0089,12.1988
18510,27.1,3.65,13.0108,12.1972
18540,27.3,3.6501,13.0074,12.1976
18570,27.7,3.65,13.009,12.1965
18600,28.0,3.65,13.007,12.1955
18630,28.3,3.6501,13.0081,12.1946
18660,28.0,3.65,13.0082,12.1923
18690,27.8,3.6501,13.0044,12.1909
18720,27.7,3.65,13.0069,12.1895
18750,27.6,3.65,13.0096,12.1884
18780,27.8,3.65,13.0109,12.1877
18810,28.1,3.65,13.0084,12.187
18840,28.5,3.65,13.0115,12.1861
18870,28.6,3.6501,13.0071,12.1849
18900,28.3,3.65,13.0113,12.1831
18930,28.2,3.65,13.0073,12.1816
18960,28.1,3.6501,13.0107,12.1798
18990,28.1,3.65,13.0134,12.1786
19020,28.2,3.6502,13.0038,12.1783
19050,23.9,3.65,13.0115,12.187
19080,26.2,3.65,13.0073,12.1972
19110,26.7,3.65,13.0093,12.1969
19140,26.6,3.6501,13.0072,12.196
19170,26.8,3.65,13.0091,12.1956
19200,26.8,3.65,13.0096,12.1942
19230,26.8,3.65,13.012,12.192
19260,26.8,3.6501,13.0082,12.1913
19290,26.8,3.65,13.0077,12.1887
19320,24.2,3.65,13.0078,12.1852
19350,23.3,3.6501,13.0016,12.184
19380,23.3,3.65,13.0107,12.1822
19410,25.1,3.6501,13.0071,12.183
19440,25.6,3.65,13.0089,12.1817
19470,25.7,3.6501,13.0068,12.1802
19500,25.8,3.65,13.0067,12.1788
19530,26.2,3.65,13.0097,12.177
19560,26.1,3.6501,13.0079,12.1766
19590,25.9,3.6501,13.0142,12.1756
